"idSp","scientificName","kingdom","phylum","order","family","genus","specificEpithet","taxonRank","class"
"idSp_01","Asplenium triquetrum N.Murak. & R.C.Moran","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Hymenasplenium","triquetrum","SPECIES","Polypodiopsida"
"idSp_02","Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","truncorum","SPECIES","Polypodiopsida"
